Age,BusinessTravel,Department,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime
37,Travel_Rarely,Research & Development,Life Sciences,61,2,Male,Research Scientist,2,Married,3022,4,Y,No
46,Travel_Frequently,Sales,Marketing,62,1,Male,Sales Executive,4,Single,5772,4,Y,Yes
35,Travel_Rarely,Research & Development,Life Sciences,63,4,Male,Laboratory Technician,4,Married,2269,1,Y,No
48,Travel_Rarely,Research & Development,Life Sciences,64,1,Male,Laboratory Technician,3,Single,5381,9,Y,Yes
28,Travel_Rarely,Research & Development,Technical Degree,65,3,Male,Laboratory Technician,3,Single,3441,1,Y,Yes
44,Travel_Rarely,Sales,Marketing,68,2,Female,Sales Executive,1,Divorced,5454,5,Y,Yes
35,Non-Travel,Research & Development,Medical,70,3,Male,Healthcare Representative,1,Married,9884,2,Y,Yes
26,Travel_Rarely,Sales,Marketing,72,3,Female,Sales Executive,4,Married,4157,7,Y,Yes
33,Travel_Frequently,Research & Development,Life Sciences,73,1,Female,Research Director,4,Single,13458,1,Y,Yes
35,Travel_Frequently,Sales,Life Sciences,74,2,Male,Sales Executive,1,Married,9069,1,Y,No
35,Travel_Rarely,Research & Development,Medical,75,3,Female,Laboratory Technician,1,Married,4014,3,Y,Yes
31,Travel_Rarely,Research & Development,Life Sciences,76,4,Male,Laboratory Technician,4,Divorced,5915,3,Y,No
37,Travel_Rarely,Research & Development,Life Sciences,77,1,Male,Manufacturing Director,3,Divorced,5993,1,Y,No
32,Travel_Rarely,Research & Development,Medical,78,1,Male,Manufacturing Director,4,Married,6162,1,Y,Yes
38,Travel_Frequently,Research & Development,Life Sciences,79,4,Female,Laboratory Technician,4,Single,2406,1,Y,No
50,Travel_Rarely,Research & Development,Medical,80,2,Female,Research Director,3,Divorced,18740,5,Y,Yes
59,Travel_Rarely,Sales,Life Sciences,81,1,Female,Sales Executive,1,Single,7637,7,Y,No
36,Travel_Rarely,Research & Development,Technical Degree,83,3,Female,Healthcare Representative,3,Divorced,10096,1,Y,No
55,Travel_Rarely,Research & Development,Medical,84,4,Female,Manager,3,Divorced,14756,2,Y,Yes
36,Travel_Frequently,Research & Development,Life Sciences,85,2,Male,Manufacturing Director,2,Single,6499,1,Y,No
45,Travel_Rarely,Research & Development,Life Sciences,86,2,Male,Research Scientist,1,Divorced,9724,2,Y,No
35,Travel_Frequently,Research & Development,Medical,88,2,Male,Research Scientist,1,Married,2194,4,Y,No
36,Travel_Rarely,Research & Development,Medical,90,4,Male,Research Scientist,3,Married,3388,0,Y,Yes
59,Travel_Frequently,Sales,Life Sciences,91,1,Female,Sales Executive,3,Single,5473,7,Y,No
29,Travel_Rarely,Research & Development,Life Sciences,94,3,Male,Research Scientist,2,Married,2703,0,Y,No
31,Travel_Rarely,Research & Development,Medical,95,3,Male,Research Scientist,2,Single,2501,1,Y,No
32,Travel_Rarely,Research & Development,Life Sciences,96,2,Male,Research Scientist,2,Married,6220,1,Y,No
36,Travel_Rarely,Research & Development,Life Sciences,97,2,Female,Laboratory Technician,4,Married,3038,3,Y,No
31,Travel_Rarely,Research & Development,Life Sciences,98,3,Female,Manufacturing Director,4,Single,4424,1,Y,No
35,Travel_Rarely,Sales,Marketing,100,3,Male,Sales Executive,1,Single,4312,0,Y,No
45,Travel_Rarely,Research & Development,Other,101,4,Male,Research Director,1,Married,13245,4,Y,Yes
37,Travel_Rarely,Research & Development,Medical,102,1,Male,Research Director,3,Single,13664,4,Y,No
46,Travel_Rarely,Human Resources,Medical,103,2,Male,Human Resources,2,Divorced,5021,8,Y,Yes
30,Travel_Rarely,Research & Development,Life Sciences,104,4,Male,Laboratory Technician,4,Married,5126,1,Y,Yes
35,Travel_Rarely,Research & Development,Medical,105,2,Male,Research Scientist,3,Single,2859,1,Y,No
55,Travel_Rarely,Sales,Life Sciences,106,1,Male,Sales Executive,4,Married,10239,3,Y,No
38,Non-Travel,Research & Development,Medical,107,2,Female,Research Scientist,4,Divorced,5329,7,Y,Yes
34,Travel_Rarely,Research & Development,Medical,110,1,Male,Manufacturing Director,2,Married,4325,1,Y,No
56,Travel_Rarely,Research & Development,Life Sciences,112,4,Male,Manufacturing Director,4,Single,7260,4,Y,No
23,Travel_Rarely,Sales,Technical Degree,113,3,Male,Sales Representative,1,Divorced,2322,3,Y,No
51,Travel_Rarely,Research & Development,Life Sciences,116,4,Male,Laboratory Technician,4,Married,2075,3,Y,No
30,Travel_Rarely,Research & Development,Life Sciences,117,3,Male,Healthcare Representative,4,Married,4152,1,Y,No
46,Travel_Rarely,Sales,Medical,118,3,Male,Sales Executive,4,Single,9619,1,Y,No
40,Travel_Frequently,Research & Development,Life Sciences,119,3,Male,Healthcare Representative,2,Married,13503,1,Y,No
51,Travel_Rarely,Sales,Marketing,120,3,Male,Sales Executive,4,Single,5441,0,Y,Yes
30,Travel_Rarely,Sales,Medical,121,3,Female,Sales Executive,2,Divorced,5209,1,Y,Yes
46,Travel_Frequently,Research & Development,Medical,124,3,Male,Healthcare Representative,1,Married,10673,2,Y,Yes
32,Travel_Rarely,Sales,Medical,125,2,Male,Sales Executive,3,Single,5010,1,Y,No
54,Travel_Rarely,Research & Development,Technical Degree,126,1,Female,Research Director,3,Married,13549,9,Y,No
24,Travel_Rarely,Sales,Other,128,1,Female,Sales Executive,3,Married,4999,0,Y,No
28,Non-Travel,Sales,Medical,129,2,Male,Sales Executive,3,Married,4221,1,Y,No
58,Travel_Rarely,Sales,Medical,131,4,Male,Sales Executive,3,Single,13872,0,Y,No
44,Non-Travel,Research & Development,Medical,132,2,Male,Laboratory Technician,2,Married,2042,4,Y,No
37,Travel_Rarely,Human Resources,Human Resources,133,3,Male,Human Resources,1,Divorced,2073,4,Y,Yes
32,Travel_Rarely,Research & Development,Life Sciences,134,4,Male,Research Scientist,1,Single,2956,1,Y,No
20,Travel_Frequently,Research & Development,Life Sciences,137,4,Female,Laboratory Technician,4,Single,2926,1,Y,Yes
34,Travel_Rarely,Research & Development,Other,138,1,Female,Research Scientist,3,Single,4809,1,Y,No
37,Non-Travel,Research & Development,Life Sciences,139,3,Male,Healthcare Representative,4,Divorced,5163,5,Y,No
59,Non-Travel,Human Resources,Human Resources,140,3,Female,Manager,4,Married,18844,9,Y,No
50,Travel_Frequently,Research & Development,Life Sciences,141,1,Female,Research Director,2,Married,18172,3,Y,Yes
25,Travel_Rarely,Sales,Marketing,142,3,Male,Sales Executive,3,Single,5744,1,Y,Yes
25,Travel_Rarely,Research & Development,Medical,143,4,Male,Research Scientist,4,Married,2889,1,Y,No
22,Travel_Rarely,Research & Development,Medical,144,2,Female,Laboratory Technician,4,Single,2871,1,Y,No
51,Travel_Frequently,Research & Development,Medical,145,1,Female,Healthcare Representative,1,Single,7484,3,Y,No
34,Travel_Frequently,Research & Development,Life Sciences,147,1,Male,Laboratory Technician,3,Single,6074,1,Y,Yes
54,Non-Travel,Human Resources,Human Resources,148,4,Female,Manager,4,Single,17328,2,Y,Yes
24,Travel_Rarely,Research & Development,Life Sciences,150,2,Male,Laboratory Technician,3,Married,2774,0,Y,No
34,Travel_Rarely,Research & Development,Life Sciences,151,3,Female,Research Scientist,2,Divorced,4505,6,Y,No
37,Travel_Rarely,Sales,Life Sciences,152,3,Male,Sales Executive,4,Single,7428,2,Y,No
34,Travel_Rarely,Research & Development,Medical,153,3,Female,Manager,1,Single,11631,2,Y,No
36,Travel_Frequently,Sales,Technical Degree,154,2,Female,Sales Executive,4,Married,9738,0,Y,No
36,Travel_Rarely,Research & Development,Life Sciences,155,1,Female,Laboratory Technician,4,Divorced,2835,5,Y,No
43,Travel_Frequently,Sales,Life Sciences,158,3,Male,Manager,4,Married,16959,1,Y,Yes
30,Travel_Frequently,Research & Development,Life Sciences,159,1,Male,Research Scientist,3,Divorced,2613,1,Y,No
33,Non-Travel,Sales,Marketing,160,3,Male,Sales Executive,2,Married,6146,0,Y,No
56,Travel_Rarely,Research & Development,Life Sciences,161,2,Female,Research Scientist,2,Married,4963,9,Y,Yes
51,Travel_Rarely,Research & Development,Life Sciences,162,1,Male,Research Director,3,Single,19537,7,Y,No
31,Travel_Rarely,Sales,Life Sciences,163,2,Male,Sales Executive,3,Married,6172,4,Y,Yes
26,Travel_Rarely,Research & Development,Other,164,3,Female,Research Scientist,2,Married,2368,1,Y,No
58,Travel_Rarely,Research & Development,Medical,165,4,Female,Healthcare Representative,4,Married,10312,1,Y,No
19,Travel_Rarely,Sales,Marketing,167,4,Male,Sales Representative,3,Single,1675,1,Y,Yes
22,Travel_Rarely,Research & Development,Technical Degree,169,3,Male,Laboratory Technician,4,Married,2523,0,Y,No
49,Travel_Rarely,Research & Development,Medical,170,3,Female,Manufacturing Director,1,Married,6567,1,Y,No
43,Travel_Frequently,Research & Development,Medical,171,2,Female,Research Scientist,3,Single,4739,4,Y,No
50,Travel_Frequently,Sales,Marketing,174,3,Female,Sales Executive,4,Single,9208,4,Y,No
31,Travel_Rarely,Sales,Life Sciences,175,2,Female,Sales Executive,3,Married,4559,3,Y,Yes
41,Travel_Rarely,Sales,Life Sciences,176,3,Male,Sales Executive,3,Divorced,8189,3,Y,Yes
26,Travel_Rarely,Human Resources,Life Sciences,177,3,Female,Human Resources,3,Married,2942,1,Y,No
36,Travel_Rarely,Research & Development,Medical,178,2,Male,Manufacturing Director,2,Divorced,4941,6,Y,No
51,Travel_Frequently,Research & Development,Life Sciences,179,1,Male,Manufacturing Director,4,Single,10650,2,Y,No
39,Travel_Rarely,Sales,Life Sciences,182,4,Female,Sales Executive,3,Married,5902,4,Y,No
25,Travel_Rarely,Sales,Life Sciences,183,1,Male,Sales Executive,3,Married,8639,2,Y,No
30,Travel_Rarely,Human Resources,Human Resources,184,3,Male,Human Resources,4,Married,6347,0,Y,Yes
32,Travel_Rarely,Research & Development,Medical,190,1,Female,Laboratory Technician,1,Single,4200,7,Y,No
45,Travel_Rarely,Research & Development,Medical,192,3,Male,Research Scientist,4,Single,3452,5,Y,No
38,Travel_Rarely,Research & Development,Technical Degree,193,4,Female,Research Scientist,3,Single,4317,3,Y,Yes
30,Travel_Rarely,Research & Development,Life Sciences,194,1,Female,Research Scientist,3,Single,2632,1,Y,No
32,Travel_Frequently,Sales,Medical,195,4,Male,Sales Executive,4,Divorced,4668,0,Y,No
30,Travel_Rarely,Research & Development,Technical Degree,197,4,Female,Research Scientist,1,Divorced,3204,5,Y,No
30,Travel_Rarely,Research & Development,Medical,198,2,Male,Laboratory Technician,4,Single,2720,0,Y,No
41,Travel_Frequently,Research & Development,Life Sciences,199,4,Male,Manager,1,Divorced,17181,4,Y,No
41,Travel_Rarely,Research & Development,Life Sciences,200,3,Male,Laboratory Technician,1,Married,2238,2,Y,No
19,Travel_Rarely,Research & Development,Medical,201,2,Female,Laboratory Technician,2,Single,1483,1,Y,No
40,Travel_Frequently,Research & Development,Medical,202,2,Female,Research Scientist,2,Divorced,5605,1,Y,No
35,Travel_Rarely,Sales,Marketing,204,3,Male,Sales Executive,2,Married,7295,1,Y,No
53,Travel_Rarely,Sales,Marketing,205,2,Male,Sales Representative,3,Married,2306,2,Y,Yes
45,Travel_Rarely,Research & Development,Life Sciences,206,2,Male,Laboratory Technician,2,Divorced,2348,8,Y,No
32,Travel_Frequently,Sales,Marketing,207,2,Female,Sales Executive,4,Single,8998,1,Y,No
29,Non-Travel,Research & Development,Technical Degree,208,4,Male,Manufacturing Director,3,Married,4319,1,Y,No
51,Travel_Rarely,Research & Development,Medical,211,2,Male,Manufacturing Director,3,Married,6132,2,Y,No
58,Travel_Rarely,Research & Development,Medical,214,2,Female,Research Scientist,2,Married,3346,4,Y,Yes
40,Travel_Rarely,Sales,Marketing,215,3,Male,Sales Executive,4,Married,10855,7,Y,No
34,Travel_Frequently,Sales,Marketing,216,3,Female,Sales Representative,3,Married,2231,6,Y,No
22,Travel_Rarely,Research & Development,Medical,217,3,Male,Research Scientist,4,Married,2323,1,Y,No
27,Non-Travel,Research & Development,Medical,218,4,Male,Research Scientist,2,Divorced,2024,6,Y,No
28,Travel_Rarely,Research & Development,Medical,221,3,Male,Research Scientist,4,Married,2713,1,Y,No
57,Travel_Rarely,Research & Development,Life Sciences,223,3,Male,Healthcare Representative,4,Divorced,9439,3,Y,Yes
27,Non-Travel,Research & Development,Medical,224,3,Male,Research Scientist,3,Divorced,2566,1,Y,Yes
50,Travel_Rarely,Research & Development,Life Sciences,226,3,Female,Manager,2,Single,19926,3,Y,No
41,Travel_Rarely,Research & Development,Life Sciences,227,1,Male,Research Scientist,3,Divorced,2451,4,Y,No
30,Travel_Rarely,Sales,Life Sciences,228,2,Female,Sales Executive,4,Married,9419,2,Y,No
38,Travel_Rarely,Sales,Life Sciences,230,1,Female,Sales Executive,4,Single,8686,4,Y,No
32,Travel_Rarely,Research & Development,Life Sciences,231,3,Male,Research Scientist,3,Single,3038,3,Y,No
27,Travel_Rarely,Research & Development,Technical Degree,233,3,Male,Research Scientist,2,Married,3058,0,Y,Yes
19,Travel_Frequently,Sales,Technical Degree,235,3,Female,Sales Representative,1,Single,2325,0,Y,No
36,Travel_Frequently,Research & Development,Medical,238,4,Male,Laboratory Technician,2,Single,2088,4,Y,No
30,Non-Travel,Research & Development,Medical,239,3,Male,Laboratory Technician,1,Divorced,3072,1,Y,No
45,Travel_Rarely,Sales,Life Sciences,240,3,Female,Sales Executive,1,Divorced,5006,4,Y,Yes
56,Travel_Rarely,Research & Development,Life Sciences,241,3,Female,Research Scientist,1,Divorced,4257,4,Y,Yes
33,Travel_Rarely,Research & Development,Life Sciences,242,3,Male,Research Scientist,4,Single,2500,0,Y,No
19,Travel_Rarely,Research & Development,Life Sciences,243,2,Male,Laboratory Technician,4,Single,1102,1,Y,No
46,Travel_Rarely,Sales,Marketing,244,2,Female,Sales Executive,1,Divorced,10453,1,Y,No
38,Travel_Rarely,Research & Development,Life Sciences,245,3,Female,Laboratory Technician,4,Single,2288,1,Y,No
31,Travel_Rarely,Research & Development,Medical,246,3,Female,Research Scientist,4,Married,3929,8,Y,Yes
34,Travel_Rarely,Research & Development,Medical,247,4,Female,Research Scientist,2,Single,2311,2,Y,No
41,Travel_Rarely,Sales,Marketing,248,2,Female,Sales Representative,2,Single,3140,1,Y,Yes
50,Travel_Rarely,Research & Development,Medical,249,3,Male,Laboratory Technician,3,Married,3690,2,Y,No
53,Travel_Rarely,Research & Development,Medical,250,4,Female,Manufacturing Director,1,Divorced,4450,1,Y,No
33,Travel_Rarely,Research & Development,Medical,252,4,Female,Research Scientist,2,Married,2756,1,Y,No
40,Travel_Rarely,Research & Development,Medical,253,4,Female,Manager,3,Married,19033,1,Y,No
55,Travel_Rarely,Research & Development,Medical,254,3,Male,Research Director,2,Single,18722,8,Y,No
34,Travel_Frequently,Research & Development,Life Sciences,256,4,Male,Manufacturing Director,3,Married,9547,1,Y,No
51,Travel_Rarely,Research & Development,Medical,258,4,Female,Healthcare Representative,2,Single,13734,3,Y,No
52,Travel_Rarely,Research & Development,Life Sciences,259,3,Male,Manager,3,Married,19999,0,Y,No
27,Travel_Rarely,Research & Development,Medical,260,4,Female,Research Scientist,2,Single,2279,1,Y,No
35,Travel_Rarely,Research & Development,Life Sciences,261,2,Male,Manufacturing Director,3,Married,5916,3,Y,Yes
43,Non-Travel,Research & Development,Medical,262,4,Male,Research Scientist,4,Divorced,2089,4,Y,No
45,Non-Travel,Research & Development,Medical,264,1,Male,Manager,4,Married,16792,9,Y,No
37,Travel_Rarely,Research & Development,Life Sciences,267,2,Male,Research Scientist,1,Married,3564,1,Y,Yes
35,Travel_Frequently,Research & Development,Medical,269,2,Female,Laboratory Technician,2,Single,4425,5,Y,No
42,Non-Travel,Research & Development,Medical,270,3,Female,Manufacturing Director,3,Divorced,5265,2,Y,No
38,Travel_Rarely,Research & Development,Life Sciences,271,4,Male,Manufacturing Director,3,Married,6553,9,Y,No
38,Travel_Rarely,Research & Development,Technical Degree,273,4,Male,Manufacturing Director,4,Married,6261,3,Y,No
27,Travel_Frequently,Research & Development,Technical Degree,274,3,Male,Manufacturing Director,1,Married,4298,5,Y,No
49,Non-Travel,Research & Development,Life Sciences,275,4,Male,Manufacturing Director,4,Divorced,6804,1,Y,Yes
34,Travel_Frequently,Research & Development,Medical,277,4,Male,Research Scientist,3,Divorced,3815,1,Y,Yes
40,Travel_Rarely,Research & Development,Medical,281,3,Male,Laboratory Technician,4,Married,2741,8,Y,Yes
38,Travel_Rarely,Research & Development,Medical,282,2,Male,Healthcare Representative,1,Married,6673,7,Y,Yes
29,Travel_Rarely,Sales,Marketing,283,2,Female,Sales Executive,4,Married,7639,1,Y,No
22,Travel_Rarely,Research & Development,Life Sciences,284,4,Male,Research Scientist,2,Divorced,2328,1,Y,Yes
36,Travel_Frequently,Research & Development,Medical,286,2,Female,Laboratory Technician,4,Single,2153,1,Y,No
40,Non-Travel,Research & Development,Life Sciences,287,4,Male,Healthcare Representative,4,Married,4876,9,Y,No
46,Travel_Rarely,Research & Development,Medical,288,4,Male,Healthcare Representative,1,Divorced,9396,7,Y,No
32,Travel_Rarely,Sales,Medical,291,4,Male,Sales Executive,4,Married,10400,1,Y,No
30,Non-Travel,Research & Development,Life Sciences,292,3,Male,Manufacturing Director,3,Single,8474,1,Y,No
27,Travel_Frequently,Sales,Life Sciences,293,4,Female,Sales Executive,3,Single,9981,1,Y,No
51,Travel_Rarely,Research & Development,Life Sciences,296,2,Male,Research Director,2,Married,12490,5,Y,No
30,Travel_Rarely,Research & Development,Technical Degree,297,4,Female,Research Scientist,1,Single,2657,5,Y,Yes
41,Travel_Rarely,Sales,Life Sciences,298,4,Female,Manager,4,Single,13591,3,Y,Yes
30,Travel_Frequently,Sales,Marketing,299,3,Female,Sales Executive,1,Single,6696,5,Y,No
29,Travel_Rarely,Research & Development,Technical Degree,300,3,Male,Research Scientist,3,Single,2058,0,Y,No
45,Non-Travel,Sales,Medical,302,4,Female,Sales Executive,4,Single,8865,6,Y,No
54,Travel_Rarely,Sales,Marketing,303,4,Female,Sales Executive,1,Married,5940,2,Y,No
36,Travel_Rarely,Research & Development,Life Sciences,304,4,Male,Laboratory Technician,2,Single,5914,8,Y,No
33,Travel_Rarely,Research & Development,Medical,305,3,Female,Research Scientist,2,Married,2622,6,Y,No
37,Travel_Frequently,Research & Development,Other,306,2,Male,Research Director,4,Divorced,12185,1,Y,Yes
38,Travel_Rarely,Sales,Life Sciences,307,1,Male,Sales Executive,3,Divorced,10609,0,Y,No
31,Non-Travel,Research & Development,Medical,308,3,Male,Manufacturing Director,3,Married,4345,0,Y,No
59,Travel_Rarely,Research & Development,Life Sciences,309,3,Male,Research Scientist,4,Married,2177,3,Y,No
37,Travel_Frequently,Sales,Marketing,311,1,Male,Sales Representative,4,Divorced,2793,4,Y,No
29,Travel_Frequently,Sales,Medical,312,2,Female,Sales Executive,4,Married,7918,1,Y,No
35,Travel_Frequently,Sales,Marketing,314,3,Female,Sales Executive,3,Single,8789,1,Y,No
29,Travel_Rarely,Research & Development,Medical,315,3,Male,Research Scientist,4,Single,2389,1,Y,Yes
52,Travel_Rarely,Research & Development,Life Sciences,316,3,Female,Laboratory Technician,4,Single,3212,7,Y,No
42,Travel_Rarely,Research & Development,Technical Degree,319,3,Male,Manager,4,Married,19232,1,Y,No
59,Travel_Rarely,Human Resources,Medical,321,2,Male,Human Resources,3,Married,2267,8,Y,No
50,Travel_Rarely,Sales,Medical,323,4,Female,Manager,4,Divorced,19517,3,Y,No
33,Travel_Rarely,Research & Development,Medical,325,3,Male,Laboratory Technician,4,Married,2436,5,Y,Yes
43,Travel_Rarely,Sales,Marketing,327,4,Female,Manager,4,Married,16064,5,Y,Yes
33,Travel_Rarely,Research & Development,Life Sciences,328,1,Female,Laboratory Technician,1,Married,2707,7,Y,No
52,Non-Travel,Sales,Life Sciences,329,1,Male,Manager,3,Single,19068,1,Y,Yes
32,Travel_Rarely,Sales,Life Sciences,330,3,Female,Sales Representative,2,Married,3931,2,Y,No
32,Travel_Rarely,Research & Development,Life Sciences,331,4,Male,Laboratory Technician,3,Single,3730,0,Y,Yes
39,Travel_Rarely,Research & Development,Medical,332,3,Female,Laboratory Technician,3,Divorced,2232,7,Y,No
32,Non-Travel,Sales,Marketing,333,3,Male,Sales Executive,4,Married,4465,0,Y,No
41,Travel_Rarely,Research & Development,Life Sciences,334,3,Male,Research Scientist,1,Divorced,3072,2,Y,No
40,Travel_Rarely,Research & Development,Technical Degree,335,1,Male,Research Scientist,4,Divorced,3319,1,Y,No
45,Travel_Rarely,Research & Development,Other,336,3,Male,Manager,4,Married,19202,0,Y,No
31,Travel_Frequently,Research & Development,Medical,337,2,Male,Research Director,3,Divorced,13675,9,Y,No
33,Travel_Rarely,Research & Development,Life Sciences,338,3,Female,Research Scientist,4,Married,2911,1,Y,No
34,Travel_Rarely,Research & Development,Life Sciences,339,4,Male,Manufacturing Director,1,Married,5957,6,Y,No
37,Travel_Rarely,Research & Development,Medical,340,3,Female,Research Scientist,1,Married,3920,2,Y,No
45,Travel_Frequently,Research & Development,Life Sciences,341,1,Male,Manufacturing Director,3,Married,6434,4,Y,No
37,Travel_Frequently,Research & Development,Medical,342,1,Male,Manufacturing Director,3,Divorced,10048,6,Y,No
39,Travel_Frequently,Research & Development,Technical Degree,343,3,Female,Healthcare Representative,3,Single,10938,0,Y,No
29,Travel_Rarely,Research & Development,Life Sciences,346,3,Male,Research Scientist,4,Single,2340,1,Y,No
42,Travel_Rarely,Research & Development,Life Sciences,347,4,Female,Research Scientist,1,Single,6545,3,Y,Yes
29,Travel_Rarely,Sales,Marketing,349,4,Male,Sales Executive,4,Divorced,6931,2,Y,No
25,Travel_Rarely,Research & Development,Life Sciences,350,1,Female,Manufacturing Director,3,Married,4898,0,Y,No
42,Travel_Rarely,Research & Development,Medical,351,4,Female,Laboratory Technician,1,Divorced,2593,0,Y,Yes
40,Travel_Rarely,Research & Development,Medical,352,1,Male,Research Director,3,Divorced,19436,0,Y,No
51,Travel_Rarely,Research & Development,Life Sciences,353,3,Male,Research Scientist,4,Married,2723,1,Y,No
31,Travel_Frequently,Research & Development,Medical,355,3,Male,Laboratory Technician,2,Single,3479,0,Y,No
32,Travel_Frequently,Research & Development,Life Sciences,359,2,Male,Laboratory Technician,2,Married,2794,1,Y,No
38,Non-Travel,Sales,Life Sciences,361,4,Male,Sales Executive,4,Married,5249,3,Y,No
32,Travel_Rarely,Research & Development,Technical Degree,362,4,Male,Laboratory Technician,1,Single,2176,4,Y,No
46,Travel_Rarely,Sales,Technical Degree,363,3,Female,Manager,2,Married,16872,3,Y,Yes
